iter 1	16:07:50:
	r2 = {'fabius': {'default': -2.1645779135152132}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'k': 1000.0}
iter 2	16:07:51:
	r2 = {'fabius': {'default': -2.1645779135152132}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'k': 1000.0}
iter 3	16:07:51:
	r2 = {'fabius': {'default': -2.1645779135152132}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'k': 1000.0}
iter 4	16:07:51:
	r2 = {'fabius': {'default': -1.7859761533703247}}
	Parameters = {'c1': 1.1414213562373094, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'k': 1141.4213562373095}
iter 5	16:07:51:
	r2 = {'fabius': {'default': -2.159316068509496}}
	Parameters = {'c1': 1.0, 'c2': 0.4451543289325507, 'c3': 0.05, 'c4': 0.005, 'k': 1000.0}
iter 6	16:07:52:
	r2 = {'fabius': {'default': -2.1645479797604263}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05707106781186548, 'c4': 0.005, 'k': 1000.0}
iter 7	16:07:52:
	r2 = {'fabius': {'default': -2.164577738055524}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005707106781186548, 'k': 1000.0}
iter 8	16:07:52:
	r2 = {'fabius': {'default': 0.9875026782357194}}
	Parameters = {'c1': 5.413506326991605, 'c2': -82.95485598223362, 'c3': 479.1667490590951, 'c4': -179.65311542133105, 'k': 5413.506326991605}
iter 9	16:07:52:
	r2 = {'fabius': {'default': 0.552884003995723}}
	Parameters = {'c1': 6.179091733754014, 'c2': -82.95485598223362, 'c3': 479.1667490590951, 'c4': -179.65311542133105, 'k': 6179.091733754014}
iter 10	16:07:53:
	r2 = {'fabius': {'default': 0.7699406520003831}}
	Parameters = {'c1': 5.413506326991605, 'c2': -71.22326774275545, 'c3': 479.1667490590951, 'c4': -179.65311542133105, 'k': 5413.506326991605}
iter 11	16:07:53:
	r2 = {'fabius': {'default': 0.9651431226761589}}
	Parameters = {'c1': 5.413506326991605, 'c2': -82.95485598223362, 'c3': 546.9311605748549, 'c4': -179.65311542133105, 'k': 5413.506326991605}
iter 12	16:07:53:
	r2 = {'fabius': {'default': 0.987494145628036}}
	Parameters = {'c1': 5.413506326991605, 'c2': -82.95485598223362, 'c3': 479.1667490590951, 'c4': -154.24632818618852, 'k': 5413.506326991605}
