iter 1	16:02:47:
	r2 = {'fabius': {'default': -0.6949445591709262}}
	Parameters = {'c1': 5, 'c2': -82, 'c3': 10, 'k': 5000}
iter 2	16:02:48:
	r2 = {'fabius': {'default': -0.6949445591709262}}
	Parameters = {'c1': 5.0, 'c2': -82.0, 'c3': 10.0, 'k': 5000.0}
iter 3	16:02:48:
	r2 = {'fabius': {'default': -0.6949445591709262}}
	Parameters = {'c1': 5.0, 'c2': -82.0, 'c3': 10.0, 'k': 5000.0}
iter 4	16:02:48:
	r2 = {'fabius': {'default': -0.6948435032315177}}
	Parameters = {'c1': 5.00005, 'c2': -82.0, 'c3': 10.0, 'k': 5000.05}
iter 5	16:02:48:
	r2 = {'fabius': {'default': -0.6948600157186278}}
	Parameters = {'c1': 5.0, 'c2': -81.99918, 'c3': 10.0, 'k': 5000.0}
iter 6	16:02:49:
	r2 = {'fabius': {'default': -0.6949439797346124}}
	Parameters = {'c1': 5.0, 'c2': -82.0, 'c3': 10.0001, 'k': 5000.0}
iter 7	16:02:49:
	r2 = {'fabius': {'default': -68222524.19187678}}
	Parameters = {'c1': 4.1178655781186455, 'c2': 131.19281306459277, 'c3': -2711.4555209687414, 'k': 4117.865578118645}
iter 8	16:02:49:
	r2 = {'fabius': {'default': 0.4014406084063944}}
	Parameters = {'c1': 4.819657301613253, 'c2': -73.5497385870193, 'c3': 165.70938681654522, 'k': 4819.6573016132525}
iter 9	16:02:49:
	r2 = {'fabius': {'default': 0.4015011224012558}}
	Parameters = {'c1': 4.819705498186269, 'c2': -73.5497385870193, 'c3': 165.70938681654522, 'k': 4819.705498186269}
iter 10	16:02:50:
	r2 = {'fabius': {'default': 0.40148504329111}}
	Parameters = {'c1': 4.819657301613253, 'c2': -73.54900308963343, 'c3': 165.70938681654522, 'k': 4819.6573016132525}
iter 11	16:02:50:
	r2 = {'fabius': {'default': 0.4014460336978861}}
	Parameters = {'c1': 4.819657301613253, 'c2': -73.5497385870193, 'c3': 165.7110439104134, 'k': 4819.6573016132525}
iter 12	16:02:50:
	r2 = {'fabius': {'default': 0.9492233787750782}}
	Parameters = {'c1': 4.477917890381812, 'c2': -39.45112625034951, 'c3': 40.6531809685907, 'k': 4477.917890381813}
iter 13	16:02:50:
	r2 = {'fabius': {'default': 0.9492235109857879}}
	Parameters = {'c1': 4.477962669560716, 'c2': -39.45112625034951, 'c3': 40.6531809685907, 'k': 4477.962669560716}
iter 14	16:02:51:
	r2 = {'fabius': {'default': 0.9492214889872124}}
	Parameters = {'c1': 4.477917890381812, 'c2': -39.450731739087004, 'c3': 40.6531809685907, 'k': 4477.917890381813}
iter 15	16:02:51:
	r2 = {'fabius': {'default': 0.9492232533134353}}
	Parameters = {'c1': 4.477917890381812, 'c2': -39.45112625034951, 'c3': 40.65358750040039, 'k': 4477.917890381813}
iter 16	16:02:51:
	r2 = {'fabius': {'default': 0.4826419507021035}}
	Parameters = {'c1': 4.252807974358309, 'c2': 54.482403410432674, 'c3': -1501.8696327584767, 'k': 4252.807974358309}
iter 17	16:02:52:
	r2 = {'fabius': {'default': 0.48261025964946136}}
	Parameters = {'c1': 4.2528505024380525, 'c2': 54.482403410432674, 'c3': -1501.8696327584767, 'k': 4252.850502438053}
iter 18	16:02:52:
	r2 = {'fabius': {'default': 0.4826129413183756}}
	Parameters = {'c1': 4.252807974358309, 'c2': 54.482948234466775, 'c3': -1501.8696327584767, 'k': 4252.807974358309}
iter 19	16:02:52:
	r2 = {'fabius': {'default': 0.4826303394016789}}
	Parameters = {'c1': 4.252807974358309, 'c2': 54.482403410432674, 'c3': -1501.854614062149, 'k': 4252.807974358309}
iter 20	16:02:52:
	r2 = {'fabius': {'default': 0.4638292462903869}}
	Parameters = {'c1': 4.333784996002781, 'c2': 54.60069277230787, 'c3': -1570.2962439149792, 'k': 4333.784996002782}
iter 21	16:02:53:
	r2 = {'fabius': {'default': 0.48752318619401425}}
	Parameters = {'c1': 4.3338283338527415, 'c2': 54.60069277230787, 'c3': -1570.2962439149792, 'k': 4333.828333852742}
iter 22	16:02:53:
	r2 = {'fabius': {'default': 0.4313894237756224}}
	Parameters = {'c1': 4.333784996002781, 'c2': 54.601238779235594, 'c3': -1570.2962439149792, 'k': 4333.784996002782}
iter 23	16:02:53:
	r2 = {'fabius': {'default': 0.4638559031435563}}
	Parameters = {'c1': 4.333784996002781, 'c2': 54.60069277230787, 'c3': -1570.2805409525402, 'k': 4333.784996002782}
iter 24	16:02:54:
	r2 = {'fabius': {'default': 0.46333798512765745}}
	Parameters = {'c1': 4.333927343725476, 'c2': 54.601018652651554, 'c3': -1570.1887207732614, 'k': 4333.927343725476}
iter 25	16:02:54:
	r2 = {'fabius': {'default': 0.4607556432886746}}
	Parameters = {'c1': 4.333862755905123, 'c2': 54.6008531050877, 'c3': -1569.212912719579, 'k': 4333.862755905123}
iter 26	16:02:54:
	r2 = {'fabius': {'default': 0.46345943528586286}}
	Parameters = {'c1': 4.333825256981855, 'c2': 54.60077264726626, 'c3': -1569.4731620437685, 'k': 4333.825256981855}
iter 27	16:02:54:
	r2 = {'fabius': {'default': 0.5034272168790923}}
	Parameters = {'c1': 4.333805460998205, 'c2': 54.60073269235109, 'c3': -1569.812910408371, 'k': 4333.805460998205}
iter 28	16:02:55:
	r2 = {'fabius': {'default': 0.5033945342523842}}
	Parameters = {'c1': 4.333848799052815, 'c2': 54.60073269235109, 'c3': -1569.812910408371, 'k': 4333.848799052815}
iter 29	16:02:55:
	r2 = {'fabius': {'default': 0.5034136272889025}}
	Parameters = {'c1': 4.333805460998205, 'c2': 54.60127869967801, 'c3': -1569.812910408371, 'k': 4333.805460998205}
iter 30	16:02:55:
	r2 = {'fabius': {'default': 0.46360327566245607}}
	Parameters = {'c1': 4.333805460998205, 'c2': 54.60073269235109, 'c3': -1569.797212279267, 'k': 4333.805460998205}
iter 31	16:02:55:
	r2 = {'fabius': {'default': 0.503437809068056}}
	Parameters = {'c1': 4.333805372926154, 'c2': 54.60073269246207, 'c3': -1569.8258818312613, 'k': 4333.805372926154}
iter 32	16:02:56:
	r2 = {'fabius': {'default': 0.4851557492645001}}
	Parameters = {'c1': 4.333805432992729, 'c2': 54.600732692454564, 'c3': -1569.8193961224895, 'k': 4333.805432992729}
iter 33	16:02:56:
	r2 = {'fabius': {'default': 0.4636335577304843}}
	Parameters = {'c1': 4.333805457119184, 'c2': 54.60073269237798, 'c3': -1569.8142437472056, 'k': 4333.805457119184}
iter 34	16:02:56:
	r2 = {'fabius': {'default': 0.463610302459453}}
	Parameters = {'c1': 4.3338054606371905, 'c2': 54.60073269235397, 'c3': -1569.8130476140855, 'k': 4333.805460637191}
iter 35	16:02:57:
	r2 = {'fabius': {'default': 0.5034272168790923}}
	Parameters = {'c1': 4.333805460998205, 'c2': 54.60073269235109, 'c3': -1569.812910408371, 'k': 4333.805460998205}
