iter 1	16:04:19:
	r2 = {'fabius': {'default': -1649.2924122613238}}
	Parameters = {'c1': 50.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 50000.0}
iter 2	16:04:20:
	r2 = {'fabius': {'default': -1649.2924122613238}}
	Parameters = {'c1': 50.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 50000.0}
iter 3	16:04:20:
	r2 = {'fabius': {'default': -1649.2924122613238}}
	Parameters = {'c1': 50.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 50000.0}
iter 4	16:04:20:
	r2 = {'fabius': {'default': -1649.3274308322966}}
	Parameters = {'c1': 50.0005, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 50000.5}
iter 5	16:04:20:
	r2 = {'fabius': {'default': -1649.2924195049177}}
	Parameters = {'c1': 50.0, 'c2': 0.3900039, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 50000.0}
iter 6	16:04:21:
	r2 = {'fabius': {'default': -1649.2924122613238}}
	Parameters = {'c1': 50.0, 'c2': 0.39, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 50000.0}
iter 7	16:04:21:
	r2 = {'fabius': {'default': -1649.2924122613238}}
	Parameters = {'c1': 50.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 50000.0}
iter 8	16:04:21:
	r2 = {'fabius': {'default': -1649.2924122613238}}
	Parameters = {'c1': 50.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 50000.0}
iter 9	16:04:21:
	r2 = {'fabius': {'default': -0.9211485992373283}}
	Parameters = {'c1': 4.304781201056123, 'c2': -1.0687122985369584, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4304.781201056123}
iter 10	16:04:22:
