iter 1	15:58:16:
	r2 = {'fabius': {'default': -5.7074818355362815}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.01, 'c4': 0.01, 'k': 10.0}
iter 2	15:58:17:
	r2 = {'fabius': {'default': -5.6647859914041625}}
	Parameters = {'c1': 0.02, 'c2': 0.01, 'c3': 0.01, 'c4': 0.01, 'k': 20.0}
iter 3	15:58:17:
	r2 = {'fabius': {'default': -5.705890876594938}}
	Parameters = {'c1': 0.01, 'c2': 0.02, 'c3': 0.01, 'c4': 0.01, 'k': 10.0}
iter 4	15:58:17:
	r2 = {'fabius': {'default': -5.707407562397168}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.02, 'c4': 0.01, 'k': 10.0}
iter 5	15:58:17:
	r2 = {'fabius': {'default': -5.70747797114093}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.01, 'c4': 0.02, 'k': 10.0}
iter 6	15:58:18:
	r2 = {'fabius': {'default': -2.1437894433981945}}
	Parameters = {'c1': 1.0192980063298203, 'c2': 0.0476090863242298, 'c3': 0.011755761778577824, 'c4': 0.010091351432514203, 'k': 1019.2980063298203}
iter 7	15:58:18:
	r2 = {'fabius': {'default': -2.1161115391684704}}
	Parameters = {'c1': 1.0292980063298203, 'c2': 0.0476090863242298, 'c3': 0.011755761778577824, 'c4': 0.010091351432514203, 'k': 1029.2980063298203}
iter 8	15:58:18:
	r2 = {'fabius': {'default': -2.142835918212675}}
	Parameters = {'c1': 1.0192980063298203, 'c2': 0.0576090863242298, 'c3': 0.011755761778577824, 'c4': 0.010091351432514203, 'k': 1019.2980063298203}
iter 9	15:58:18:
	r2 = {'fabius': {'default': -2.1437471905216303}}
	Parameters = {'c1': 1.0192980063298203, 'c2': 0.0476090863242298, 'c3': 0.021755761778577826, 'c4': 0.010091351432514203, 'k': 1019.2980063298203}
iter 10	15:58:19:
	r2 = {'fabius': {'default': -2.1437873264673573}}
	Parameters = {'c1': 1.0192980063298203, 'c2': 0.0476090863242298, 'c3': 0.011755761778577824, 'c4': 0.020091351432514205, 'k': 1019.2980063298203}
iter 11	15:58:19:
	r2 = {'fabius': {'default': 0.4675539418275111}}
	Parameters = {'c1': 2.9182925252835252, 'c2': -0.8083959955708916, 'c3': -0.05514249758332549, 'c4': 0.0056405573274249995, 'k': 2918.2925252835253}
iter 12	15:58:19:
	r2 = {'fabius': {'default': 0.46756274208793425}}
	Parameters = {'c1': 2.928292525283525, 'c2': -0.8083959955708916, 'c3': -0.05514249758332549, 'c4': 0.0056405573274249995, 'k': 2928.292525283525}
iter 13	15:58:19:
	r2 = {'fabius': {'default': 0.46733651070815774}}
	Parameters = {'c1': 2.9182925252835252, 'c2': -0.7983959955708916, 'c3': -0.05514249758332549, 'c4': 0.0056405573274249995, 'k': 2918.2925252835253}
iter 14	15:58:20:
	r2 = {'fabius': {'default': 0.46753753276026166}}
	Parameters = {'c1': 2.9182925252835252, 'c2': -0.8083959955708916, 'c3': -0.04514249758332549, 'c4': 0.0056405573274249995, 'k': 2918.2925252835253}
iter 15	15:58:20:
	r2 = {'fabius': {'default': 0.4675528769467292}}
	Parameters = {'c1': 2.9182925252835252, 'c2': -0.8083959955708916, 'c3': -0.05514249758332549, 'c4': 0.015640557327425, 'k': 2918.2925252835253}
iter 16	15:58:20:
	r2 = {'fabius': {'default': 0.48775075821113456}}
	Parameters = {'c1': 2.96465047278001, 'c2': -1.726166019570305, 'c3': -0.12441569729531807, 'c4': 0.0011445433500171243, 'k': 2964.65047278001}
iter 17	15:58:21:
	r2 = {'fabius': {'default': 0.4876521757823291}}
	Parameters = {'c1': 2.97465047278001, 'c2': -1.726166019570305, 'c3': -0.12441569729531807, 'c4': 0.0011445433500171243, 'k': 2974.6504727800097}
iter 18	15:58:21:
	r2 = {'fabius': {'default': 0.48753320258412114}}
