iter 1	16:05:28:
	r2 = {'fabius': {'default': -2.164577915828667}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 1000.0}
iter 2	16:05:29:
	r2 = {'fabius': {'default': -2.164577915828667}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 1000.0}
iter 3	16:05:29:
	r2 = {'fabius': {'default': -2.164577915828667}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 1000.0}
iter 4	16:05:29:
	r2 = {'fabius': {'default': -2.1645500598614147}}
	Parameters = {'c1': 1.00001, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 1000.0100000000001}
iter 5	16:05:29:
	r2 = {'fabius': {'default': -2.1645775396502374}}
	Parameters = {'c1': 1.0, 'c2': 0.3900039, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 1000.0}
iter 6	16:05:30:
	r2 = {'fabius': {'default': -2.164577915828667}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 1000.0}
iter 7	16:05:30:
	r2 = {'fabius': {'default': -2.164577915828667}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 1000.0}
iter 8	16:05:30:
	r2 = {'fabius': {'default': -2.164577915828667}}
	Parameters = {'c1': 1.0, 'c2': 0.39, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 1000.0}
iter 9	16:05:30:
	r2 = {'fabius': {'default': 0.9553526272748258}}
	Parameters = {'c1': 4.5096639641756475, 'c2': -38.2900794200893, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4509.663964175647}
iter 10	16:05:31:
	r2 = {'fabius': {'default': 0.9553531333881752}}
	Parameters = {'c1': 4.50970906081529, 'c2': -38.2900794200893, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4509.709060815289}
iter 11	16:05:31:
	r2 = {'fabius': {'default': 0.9553513112280916}}
	Parameters = {'c1': 4.5096639641756475, 'c2': -38.2896965192951, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4509.663964175647}
iter 12	16:05:31:
	r2 = {'fabius': {'default': 0.9553526272748258}}
	Parameters = {'c1': 4.5096639641756475, 'c2': -38.2900794200893, 'c3': 0.0500005, 'c4': 0.005, 'c5': -0.0005, 'k': 4509.663964175647}
iter 13	16:05:31:
	r2 = {'fabius': {'default': 0.9553526272748258}}
	Parameters = {'c1': 4.5096639641756475, 'c2': -38.2900794200893, 'c3': 0.05, 'c4': 0.00500005, 'c5': -0.0005, 'k': 4509.663964175647}
iter 14	16:05:32:
	r2 = {'fabius': {'default': 0.9553526272748258}}
	Parameters = {'c1': 4.5096639641756475, 'c2': -38.2900794200893, 'c3': 0.05, 'c4': 0.005, 'c5': -0.000499995, 'k': 4509.663964175647}
iter 15	16:05:32:
	r2 = {'fabius': {'default': 0.9712015772515795}}
	Parameters = {'c1': 4.860252762643402, 'c2': -46.35716754459062, 'c3': 0.05, 'c4': 0.005, 'c5': -0.0005, 'k': 4860.252762643402}
iter 16	16:05:32:
