iter 1	16:00:43:
	r2 = {'fabius': {'default': -5.7074818355362815}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.01, 'c4': 0.01, 'k': 10.0}
iter 2	16:00:44:
	r2 = {'fabius': {'default': -5.7074818355362815}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.01, 'c4': 0.01, 'k': 10.0}
iter 3	16:00:44:
	r2 = {'fabius': {'default': -5.7074818355362815}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.01, 'c4': 0.01, 'k': 10.0}
iter 4	16:00:44:
	r2 = {'fabius': {'default': -5.707481408081799}}
	Parameters = {'c1': 0.0100001, 'c2': 0.01, 'c3': 0.01, 'c4': 0.01, 'k': 10.0001}
iter 5	16:00:44:
	r2 = {'fabius': {'default': -5.707481819869814}}
	Parameters = {'c1': 0.01, 'c2': 0.0100001, 'c3': 0.01, 'c4': 0.01, 'k': 10.0}
iter 6	16:00:45:
	r2 = {'fabius': {'default': -5.707481834804196}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.0100001, 'c4': 0.01, 'k': 10.0}
iter 7	16:00:45:
	r2 = {'fabius': {'default': -5.7074818355362815}}
	Parameters = {'c1': 0.01, 'c2': 0.01, 'c3': 0.01, 'c4': 0.0100001, 'k': 10.0}
iter 8	16:00:45:
	r2 = {'fabius': {'default': -1.5281104701981634}}
	Parameters = {'c1': 1.0108889483768313, 'c2': 6.795451120656067, 'c3': 21.59927901664879, 'c4': 0.01, 'k': 1010.8889483768313}
iter 9	16:00:45:
	r2 = {'fabius': {'default': -1.5280872980443556}}
	Parameters = {'c1': 1.010899057266315, 'c2': 6.795451120656067, 'c3': 21.59927901664879, 'c4': 0.01, 'k': 1010.899057266315}
iter 10	16:00:46:
	r2 = {'fabius': {'default': -1.5281056682929663}}
	Parameters = {'c1': 1.0108889483768313, 'c2': 6.795519075167274, 'c3': 21.59927901664879, 'c4': 0.01, 'k': 1010.8889483768313}
iter 11	16:00:46:
	r2 = {'fabius': {'default': -1.5281098626632286}}
	Parameters = {'c1': 1.0108889483768313, 'c2': 6.795451120656067, 'c3': 21.599495009438957, 'c4': 0.01, 'k': 1010.8889483768313}
iter 12	16:00:46:
	r2 = {'fabius': {'default': -1.5281104701981634}}
	Parameters = {'c1': 1.0108889483768313, 'c2': 6.795451120656067, 'c3': 21.59927901664879, 'c4': 0.0100001, 'k': 1010.8889483768313}
iter 13	16:00:46:
	r2 = {'fabius': {'default': -1.333898092280192}}
	Parameters = {'c1': 3.009657986984566, 'c2': 42.34660090300822, 'c3': -295.1332268525884, 'c4': 0.01, 'k': 3009.657986984566}
iter 14	16:00:47:
	r2 = {'fabius': {'default': -1.3339556993416357}}
	Parameters = {'c1': 3.0096880835644355, 'c2': 42.34660090300822, 'c3': -295.1332268525884, 'c4': 0.01, 'k': 3009.6880835644356}
iter 15	16:00:47:
	r2 = {'fabius': {'default': -1.3339458481572355}}
	Parameters = {'c1': 3.009657986984566, 'c2': 42.347024369017255, 'c3': -295.1332268525884, 'c4': 0.01, 'k': 3009.657986984566}
iter 16	16:00:47:
	r2 = {'fabius': {'default': -1.3339170118235653}}
	Parameters = {'c1': 3.009657986984566, 'c2': 42.34660090300822, 'c3': -295.13027552031986, 'c4': 0.01, 'k': 3009.657986984566}
iter 17	16:00:47:
	r2 = {'fabius': {'default': -1.333898092280192}}
	Parameters = {'c1': 3.009657986984566, 'c2': 42.34660090300822, 'c3': -295.1332268525884, 'c4': 0.0100001, 'k': 3009.657986984566}
iter 18	16:00:49:
	r2 = {'fabius': {'default': -2.6595630588242867}}
	Parameters = {'c1': 3.956631037788711, 'c2': 235.8368872207351, 'c3': -4654.2494292502215, 'c4': 0.01, 'k': 3956.631037788711}
iter 19	16:00:50:
	r2 = {'fabius': {'default': -2.659661202786547}}
